symbol	company	identifier	sedol	weight	sector	shares_held	local_currency
CSX	CSX CORP	126408103	2160753	0.0013572204099016783	-	21610185	USD
MMM	3M CO	88579Y101	2595708	0.0013550871331911313	-	6098613	USD
SNPS	SYNOPSYS INC	871607107	2867719	0.0013457602489682756	-	2218547	USD
CDNS	CADENCE DESIGN SYS INC	127387108	2302232	0.0013436865055612786	-	3160646	USD
VLO	VALERO ENERGY CORP	91913Y100	2041364	0.0013412158734639476	-	3547995	USD
CMI	CUMMINS INC	231021106	2240202	0.001318097107251975	-	1601290	USD
SHW	SHERWIN WILLIAMS CO/THE	824348106	2804211	0.0013153089642023766	-	2681974	USD
HCA	HCA HEALTHCARE INC	40412C101	B4MGBG6	0.0013124116767629361	-	1812627	USD
MDLZ	MONDELEZ INTERNATIONAL INC A	609207105	B8CKK03	0.001308829756332669	-	14841631	USD
EMR	EMERSON ELECTRIC CO	291011104	2313405	0.0013078375346068335	-	6524331	USD
PSX	PHILLIPS 66	718546104	B78C4Y8	0.001303273314667989	-	4675800	USD
UPS	UNITED PARCEL SERVICE CL B	911312106	2517382	0.0012918925314726532	-	8583034	USD
MPC	MARATHON PETROLEUM CORP	56585A102	B3K3L40	0.0012759772949902477	-	3415485	USD
MAR	MARRIOTT INTERNATIONAL  CL A	571903202	2210614	0.0012742706736218103	-	2546494	USD
MSI	MOTOROLA SOLUTIONS INC	620076307	B5BKPQ4	0.0012735562739792086	-	1918141	USD
AEP	AMERICAN ELECTRIC POWER	025537101	2026242	0.0012578494040592287	-	6272101	USD
CRH	CRH PLC	G25508105	B01ZKD6	0.0012540095059802444	-	7797134	USD
CI	THE CIGNA GROUP	125523100	BHJ0775	0.0012448612216680388	-	3050260	USD
ROST	ROSS STORES INC	778296103	2746711	0.001241090779109863	-	3744592	USD
HLT	HILTON WORLDWIDE HOLDINGS IN	43300A203	BYVMW06	0.0012349687710614566	-	2654541	USD
AON	AON PLC CLASS A	G0403H108	BLP1HW5	0.001226376130915719	-	2483354	USD
RCL	ROYAL CARIBBEAN CRUISES LTD	V7780T103	2754907	0.0012262868309603939	-	2912699	USD
CL	COLGATE PALMOLIVE CO	194162103	2209106	0.0012227346771819018	-	9376952	USD
WBD	WARNER BROS DISCOVERY INC	934423104	BM8JYX3	0.0012098357947460372	-	28797050	USD
ITW	ILLINOIS TOOL WORKS	452308109	2457552	0.0012091809284069856	-	3036363	USD
ECL	ECOLAB INC	278865100	2304227	0.0012038526977392477	-	2957886	USD
GM	GENERAL MOTORS CO	37045V100	B665KZ5	0.0011928291143652127	-	10465110	USD
MCO	MOODY S CORP	615369105	2252058	0.001191370548428234	-	1784983	USD
KMI	KINDER MORGAN INC	49456B101	B3NQ4P8	0.001166971816189933	-	22748305	USD
TDG	TRANSDIGM GROUP INC	893641100	B11FJK3	0.0011605719860582925	-	654523	USD
APD	AIR PRODUCTS + CHEMICALS INC	009158106	2011602	0.0011508283687105857	-	2589412	USD
LHX	L3HARRIS TECHNOLOGIES INC	502431109	BK9DTN5	0.0011470678483696682	-	2172207	USD
NSC	NORFOLK SOUTHERN CORP	655844108	2641894	0.0011462343821199662	-	2610426	USD
ELV	ELEVANCE HEALTH INC	036752103	BSPHGL4	0.0011442995497545864	-	2554844	USD
KKR	KKR + CO INC	48251W104	BG1FRR1	0.0011300611679888435	-	7985136	USD
SRE	SEMPRA	816851109	2138158	0.0011269654362042359	-	7580557	USD
TRV	TRAVELERS COS INC/THE	89417E109	2769503	0.0011170729855976536	-	2503204	USD
NKE	NIKE INC  CL B	654106103	2640147	0.0011153961308809912	-	13802267	USD
TEL	TE CONNECTIVITY PLC	G87052109	BRC3N84	0.0010860859010998034	-	3396240	USD
COR	CENCORA INC	03073E105	2795393	0.0010840320021273235	-	2255480	USD
PCAR	PACCAR INC	693718108	2665861	0.0010778504607753669	-	6099527	USD
SPG	SIMON PROPERTY GROUP INC	828806109	2812452	0.0010743280736486497	-	3764511	USD
BKR	BAKER HUGHES CO	05722G100	BDHLTQ5	0.0010711231974742004	-	11467618	USD
DLR	DIGITAL REALTY TRUST INC	253868103	B03GQS4	0.0010356810374273478	-	3756356	USD
